player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chris",gyoIs17FDX,2024-10-08T03:09:28.445Z,,5000,,4062,-938
"Nate",p43HkscZ7Z,2024-10-08T02:57:00.671Z,2024-10-08T03:29:35.561Z,5000,0,0,-5000
"Nate",p43HkscZ7Z,2024-10-08T02:47:27.709Z,2024-10-08T02:48:37.690Z,100,0,0,-100
"Shane",qzibfOcdLd,2024-10-08T02:46:28.635Z,,5000,,4479,-521
"Sam",chTVIUTTbp,2024-10-08T02:44:15.200Z,,5000,,4313,-687
"Sam",chTVIUTTbp,2024-10-08T02:19:18.140Z,2024-10-08T02:42:56.050Z,5000,0,0,-5000
"dmatten",QhBdNRsJ7Z,2024-10-08T01:45:41.743Z,2024-10-08T03:33:40.153Z,5000,7126,0,2126
"Chris",gyoIs17FDX,2024-10-08T01:27:59.263Z,2024-10-08T03:08:59.549Z,5000,0,0,-5000
"dmatten",QhBdNRsJ7Z,2024-10-08T01:24:55.338Z,2024-10-08T01:44:03.443Z,5000,0,0,-5000
"Sam",chTVIUTTbp,2024-10-08T01:20:10.843Z,2024-10-08T02:12:22.793Z,5000,4870,0,-130
"cpliu",7fhERhf6WF,2024-10-08T01:08:27.571Z,,12500,,14947,2447
"Avi",mSkAgu8De9,2024-10-08T01:07:33.054Z,2024-10-08T03:04:44.254Z,10000,19113,0,9113
"AJ",3w6iCCX7SP,2024-10-08T01:06:32.466Z,2024-10-08T01:47:02.493Z,5000,0,0,-5000
"dmatten",QhBdNRsJ7Z,2024-10-08T01:04:42.692Z,2024-10-08T01:23:57.989Z,5000,0,0,-5000
"mchenry",WmkqY5RFkF,2024-10-08T01:04:42.694Z,,5000,,20659,15659
"Sam",chTVIUTTbp,2024-10-08T01:04:42.698Z,2024-10-08T01:18:39.626Z,5000,0,0,-5000
"EA",TScR1fAyLn,2024-10-08T01:04:42.686Z,,5000,,13031,8031
